name,poi,playfield,trader sells,trader buys,required items,restock (minutes)
Bertram's Arms,"Attonement Station,Central Trade Station,Croesus Ore Headquarters,
Fire Base,Hyper City Colony,Kenex Station 62,
Kudos Station,Main Trade Hub,Rusty Barrel,
Trade Center,Trade Station,Trade Station Kimberlite,
Trade Station Lapis,Trade Station Olivine,Trade Station Pharos,
Trading Station,Trading Station Iota","Alien,Arid,AridStarter,
Asteroid Field,Barren,BarrenMetal,
Brooding Temperate,Desert,DesertBurnt,
Elder Barren,Farr Homeworld Orbit,Frozen Inferno,
Glacial Ice,Ice,Irradiated,
Jungle,Jungle Moon,MoonDesert,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,Pummeled Desert,Snow,
Station,Strange Temperate,Swamp,
Swamp Starter,Temperate,Temperate Moon,
Temperate Rainforest,TemperatePlateau,TemperateStarter,
TemperateStarter2,Trading Station,Tropical,
Varnished Barren Moon,Zirax Defense Checkpoint","12.7mm Sniper Round: 1.0-1.25,150-300
40mm Frag Grenade: 1.0-1.25,100-200
5.8mm Rifle Round: 1.0-1.25,800-1600
8.3mm Minigun Round: 1.0-1.25,2500-5000
Assault Rifle: 1.0-1.25,8-10
M-5 Pistol: 1.0-1.25,10-15
M40 Grenade Launcher: 1.0-1.25,5-10
Medical Injector: 1.0-1.25,3-8
Multi-Charge: 1.0-1.25,50-100
Multitool: 1.0-1.25,5-25
Pistol Round: 1.0-1.25,300-600
Pistol Upgrade Kit: 1.0-1.25,1-10
Shotgun Shell: 1.0-1.25,250-400
Shotgun: 1.0-1.25,10-15
Sniper Rifle: 1.0-1.25,8-15
Submachine Gun: 1.0-1.25,10-15","12.7mm Sniper Round: 0.5-0.75,100-400
40mm Frag Grenade: 0.5-0.75,50-325
5.8mm Rifle Round: 0.5-0.75,1000-5000
8.3mm Minigun Round: 0.5-0.75,2000-8000
Assault Rifle: 0.5-0.75,2-30
M-5 Pistol: 0.5-0.75,2-50
M40 Grenade Launcher: 0.5-0.75,2-30
Magnesium Powder: 0.5-0.75,150-950
Medical Injector: 0.5-0.75,1-9
Multitool: 0.5-0.75,1-29
Nitrocellulose: 0.5-0.75,700-1100
Pistol Round: 0.5-0.75,100-2500
Pistol Upgrade Kit: 0.5-0.75,10-50
Shotgun Shell: 0.5-0.75,50-500
Shotgun: 0.5-0.75,3-25
Sniper Rifle: 0.5-0.75,2-25
Submachine Gun: 0.5-0.75,2-35",,200
Biological Researcher,"Frontier Colony,Research Crawler,Research Headquarters,
Research Station","Arid Mesa,Ice,Ice Giant,
MoonPolarisTesting,Sandy Barren Moon",,"Alien Organism: 1.1-1.3,10000-20000
Alien Parts: 1.1-1.3,10000-20000
Alien thorn: 1.1-1.3,10000-20000
Alien tooth: 1.1-1.3,10000-20000
Biological Specimen: 1.1-1.3,10000-20000
Medicinal Growth: 1.1-1.3,10000-20000
Phoenix fern frond: 1.1-1.3,10000-20000
Xenomaterial: 1.1-1.3,10000-20000
Xenosteel Blocks: 1.1-1.3,100-500",,60
Bounty Hunter,Bounty Hunter Office,Trading Station,,"Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000
Insignia (Bounty): 1-1,5000-5000",,60
Chemmix Industrial,"Chemmix Industrial,Gas Refinery","AridStarter,Barren,Barren Moon,
Desert,DesertBurnt,Elder Barren,
Ice,Irradiated,Mire,
MoonBarren,MoonPolarisTesting,Ocean,
Odd Temperate Starter,Pummeled Desert,Sandy Barren Moon,
Snow,Stormy Desert,Swamp,
Temperate,TemperateStarter,TemperateStarter2","Chemicals: 0.75-1.0,200-400
Ethanol Canister: 1.0-1.25,100-200
Filters: 1.0-1.25,200-300
Helium Bottle: 1.25-1.5,150-500
Oxygen Tank Booster: 1.0-1.5,20-40
Promethium pellets: 1.25-1.5,240-480
Salt: 1.5-1.75,300-600","Aluminium Powder: 0.5-0.75,600-4000
Computer: 0.75-1.0,200-800
Flux coil: 0.75-1.0,120-240
Fuel Tank (Medium): 0.75-1.0,20-40
Large Oxygen Tank: 0.75-1.0,50-100
Magnesium Powder: 0.75-1.0,1000-8000
Plastic Tubes: 0.75-1.0,4000-16000
Small Oxygen Tank: 0.75-1.0,40-80","Plastic Tubes x40,Glass Plate x8,Flux coil x8,High-Output Capacitor x8,Titanium Plates x48,Energy Regulator x16
Carbon Substrate x2000,Mechanical Components x200,Motor x50,Electronics x25,Computer x8
Aluminium Foil x50,Cobalt Alloy x150
Nitrogen Bottle x80
Radiation Shielding x6 or Radiation Shielding Booster x6",200
Chief Mechanic,"Commercial Starport,Frontier Hub,Kenex Station,
Landing Pad C,Military Spaceport,Spaceport,
Waystation TP01,Waystation TS04,Waystation TS05","Alien,Arid,Arid Mesa,
AridStarter,Barren,Barren Moon,
BarrenMetal,Brooding Temperate,Crusted Lava,
Desert,DesertBurnt,Elder Barren,
Ice,Irradiated,Jungle,
Jungle Moon,Lava,Mire,
MoonBarren,MoonDesert,MoonPolarisTesting,
MoonStarter,Nascent,Ocean,
Ocean Starter,Odd Temperate Starter,Orbit,
Pummeled Desert,Rocky Desert,Sandy Barren Moon,
Snow,SnowStarter,SnowStory,
Station,Stormy Desert,Strange Temperate,
Swamp,Swamp Starter,Temperate,
Temperate Moon,Temperate Rainforest,TemperatePlateau,
TemperateStarter,TemperateStarter2,Varnished Barren Moon,
ZiraxHomeworld","Advanced Upgrade Kit: 1.25-1.5,2-5
Crew (Alien): 0.25-0.5,1-10
Hardened Steel Blocks (Large): 1.0-1.25,160-320
Helium Bottle: 1.25-1.5,30-60
Large Generator: 1.0-1.5,80-160
Promethium Hydrocell: 0.85-1.0,250-500
Spare Parts: 1.0-1.5,8-16
Steel Blocks (Large): 1.0-1.25,250-500","Advanced Thrusters: 0.4-0.5,5-14
Drive Thrusters: 0.3-0.4,0-3
Large Thruster: 0.5-0.6,10-20
Medium Thrusters: 0.5-0.75,15-30
Navigation Data Report: 5.0-7.5,10-25
Small Thruster: 0.5-0.75,30-50
Warp Drive: 0.5-0.75,2-6","Salt x750
Warp Signatures Report
Large Upgrade Kit
Thruster Components x25,Heat Exchanger x25
Industrial Multitool x2,Robotics x2",600
Chromium-Sierra Sciences,Chromium-Sierra Sciences,"Barren Moon,Crusted Lava,Desert,
DesertBurnt,Ice,Lava,
Sandy Barren Moon,Stormy Desert,Temperate,
Varnished Barren Moon","Advanced Upgrade Kit: 1.25-1.5,5-12
Chemicals: 1.0-1.25,40-60
Filters: 1.0-1.25,100-200
Large Optronic Matrix: 1.25-1.25,10-20
Medical Devices: 1.0-1.25,10-20
Regeneration Kit: 1.25-1.5,80-140
Science Equipment: 1.0-1.25,30-60
Small Optronic Matrix: 1.25-1.5,5-15
Tablet: 1.25-1.5,70-150","Elemental Pentaxid: 0.75-1.0,1000-4000
Glass Plate: 1.0-1.05,700-6400
Laser Upgrade Kit: 0.75-1.0,50-100
Nutrient solution: 0.75-1.0,400-800
Sulfur: 0.95-1.1,400-800
Xenomaterial: 0.5-0.75,550-3100
Xenon Bottle: 1.5-2.0,450-900","Xenomaterial x400
Helium Bottle x45
Superconductor x24
Glass Plate x150
Oxygen Bottle x50",240
Cloudmining Operations,"Gas Harvester,Gas Refinery","Asteroid Field,Orbit,OrbitSectorStart,
Station","Elemental Pentaxid: 1.25-1.5,300-600
Helium Bottle: 0.75-1.0,240-480
Hydrogen Bottle: 0.75-1.0,700-1400
Nitrogen Bottle: 0.75-1.0,500-1200
Oxygen Bottle: 0.75-1.0,500-1500
Xenon Bottle: 0.75-1.0,200-400","EVA Booster: 1.25-1.5,20-40
External Decorative Devices: 0.75-1.0,100-200
Furnishings: 0.5-0.75,60-100
Hydrogen Extractor: 0.75-1.0,50-100
Oxygen Extractor: 0.75-1.0,40-80
Oxygen Tank Booster: 1.0-1.25,20-40
Shutter Windows L: 0.75-1.0,150-300","Liquors x250,Bloody Zirax x5,Promethium Blue x5,Rum & Coke x5
Filters x100
Graphite x500
Reactor Core
Zascosium Alloy x300",240
Cobalt Trader,Frigate (Mining Cobalt),"Asteroid Field,Orbit","Cobalt Ore: 0.7-0.9,750-1500","Drill Charge: 1.1-1.3,50-200
Drill Module - Laser: 1.1-1.2,1-2
Laser Drill: 1.3-1.6,3-5
Tool Turrets: 1.1-1.2,1-3",,120
Colonists Large Delivery Contracts,Distribution Headquarters,Trading Station,"Large Sealed Package (Colonists): 1-1,2-4",,,180
Colonists Medium Delivery Contracts,Distribution Headquarters,Trading Station,"Medium Sealed Package (Colonists): 1-1,3-6",,,180
Colonists Small Delivery Contracts,Distribution Headquarters,Trading Station,"Small Sealed Package (Colonists): 1-1,6-12",,,180
Com-Hazard Processing,"Orbital Production,Waste Processing,Waste Treatment Plant","AridStarter,Barren,Barren Moon,
Desert,DesertBurnt,Elder Barren,
Ice,Irradiated,Mire,
MoonBarren,MoonPolarisTesting,MoonStarter,
Ocean,Odd Temperate Starter,Orbit,
Pummeled Desert,Sandy Barren Moon,Snow,
Stormy Desert,Swamp,Temperate,
TemperateStarter,TemperateStarter2,Varnished Barren Moon","Aluminium Powder: 1.0-1.25,500-1200
Biofuel: 0.75-1.0,800-1500
Carbon Substrate: 0.5-1.0,20000-40000
Erestrum Gel: 1.0-1.25,150-250
Fertilizer: 1.0-1.25,500-1000
Nitrogen Bottle: 2.0-2.5,100-250
Nutrient solution: 1.0-1.25,240-480
Plant fibers: 1.0-1.5,4000-8000","EVA Booster: 0.75-1.0,20-40
Magnesium Powder: 0.75-1.0,4000-8000
Motor: 0.75-1.0,100-300
Oxygen Tank Booster: 0.75-1.0,20-40
Radiation Shielding Booster: 0.75-1.0,20-40
Reactive Xenomatter: 0.5-0.75,250-600
Sulfur: 0.5-1.0,400-800
Toxic Waste: 1.5-1.65,600-1200
Water container: 0.5-0.75,250-500","Cement x120
Salt x500
Chemicals x22
Energy Regulator x50,Motor x30,Flux coil x15
Large Generator or Spare Parts x10",240
Communication Surveillance,"Attonement Station,Blue Moon,Kenex Station","Alien,Arid,Barren,
Barren Moon,BarrenMetal,Brooding Temperate,
Desert,DesertBurnt,Elder Barren,
Ice,Irradiated,Jungle,
Jungle Moon,Mire,MoonBarren,
MoonDesert,MoonPolarisTesting,Nascent,
Ocean,Ocean Starter,Odd Temperate Starter,
Orbit,Rocky Desert,Sandy Barren Moon,
Snow,SnowStory,Station,
Stormy Desert,Strange Temperate,Swamp,
Swamp Starter,Temperate,Temperate Moon,
Temperate Rainforest,TemperatePlateau,TemperateStarter,
TemperateStarter2,Trading Station,Varnished Barren Moon,
ZiraxHomeworld","Hacking Software: Fortify: 2.0-2.25,0-1
Hacking Software: Overclock: 2.0-2.25,0-1
Hacking Software: Spam: 2.0-2.25,1-2","Antennas: 1.0-1.25,50-100
Communication Data: 10.0-25.5,100-150
Economic Data: 13.0-24.0,100-150
Radar Dish: 1.0-1.25,10-50
Surveillance Data: 5.5-9.5,100-150
Troop Movement Report: 4.0-8.0,100-500
Warp Signatures Report: 3.0-8.0,100-500
Weapon Signatures Report: 4.0-8.0,100-500",,240
Construction Scrap Dealer,Scrapyard,Scrapyard,,"Ammo Box: 0.15-0.2,50-100
Armored Automatic Doors: 0.15-0.2,50-100
Armored Windows L: 0.15-0.2,250-500
Automatic Doors: 0.15-0.2,50-100
Cargo Boxes: 0.15-0.2,50-100
Combat Steel Blocks (Large): 0.1-0.2,1000-2000
Container Extension: 0.15-0.2,50-100
Elevator Frame: 0.15-0.2,50-100
Hangar Doors: 0.15-0.2,15-30
Hardened Steel Blocks (Large): 0.1-0.2,2000-4000
Heavy Windows (Large): 0.15-0.2,250-500
Hydroponics Lamp: 0.15-0.2,50-100
LCD Screens: 0.15-0.2,50-100
Lights: 0.15-0.2,50-100
Shutter Doors: 0.15-0.2,50-100
Shutter Windows L: 0.15-0.2,250-500
Steel Blocks (Large): 0.1-0.2,4000-8000
Walkways & Railings (Large): 0.15-0.2,250-500
Windows L: 0.15-0.2,250-500",,180
Copper Trader,Frigate (Mining Silicon),"Asteroid Field,Orbit","Copper Ore: 0.7-0.9,750-1500","Drill Charge: 1.1-1.3,50-200
Drill Module - Laser: 1.1-1.2,1-2
Laser Drill: 1.3-1.6,3-5
Tool Turrets: 1.1-1.2,1-3",,120
Data Researcher,"Drydock,UCH Research Outpost","Orbit,Station","Navigational Data: 7-10,0-1","Navigational Data: 0.8-1.2,3-8",,180
Dealer,"Bazarr of Farr,Hideout Maria,Pirates Base,
Trade Station,Unassuming Wreckage,Waystation","Arid,Arid Mesa,Barren,
BarrenMetal,Desert,Desert Oasis,
DesertBurnt,Farr Homeworld,Glacial Ice,
Lava,LavaNascent,MoonDesert,
Nascent,Ocean,Orbit,
Rocky Desert,Snow,Stormy Desert,
Temperate,TemperatePlateau,Trading Station,
Varnished Barren Moon","Akua Sparkling Wine: 1.25-1.5,50-100
Beer: 1.0-1.25,50-100
Hacking Software: Fortify: 2.0-2.25,0-1
Hacking Software: Overclock: 2.0-2.25,0-1
Hacking Software: Spam: 2.0-2.25,0-1
Liquors: 1.25-1.5,50-100
Luxury Goods: 1.0-1.25,5-10
Narcotics: 1.25-1.5,50-100
Plasma Cartridge: 1.0-1.25,50-100
Raw Diamond: 1.0-1.25,50-100","Gold Ingot: 0.9-1.0,50-200
Platinum Ingot: 0.9-1.05,50-200",,60
Eden_RichOreColonists,Distribution Center,Trading Station,,"Advanced Colonization Goods: 0.9-1.1,2-4
Neutronium Powder: 0.2-0.3,500-2500",,180
Eden_RichOrePirates,Distribution Center,Trading Station,,"Advanced Cargo Goods: 0.7-0.9,2-4
Advanced Steath Tech Goods: 0.7-0.9,2-4
Advanced Weapons Goods: 0.7-0.9,2-4
Dronite Powder: 0.2-0.3,500-2500",,180
Eden_RichOrePolaris,Distribution Center,Trading Station,,"Advanced Cargo Goods: 0.7-0.8,4-6
Advanced Manufacturing Goods.: 0.7-0.8,4-6
Irtite Powder: 0.2-0.3,500-2500",,180
Eden_RichOreTrader,Distribution Headquarters,Trading Station,,"Advanced Cargo Goods: 0.9-1.1,2-4
Protonium Powder: 0.2-0.3,500-2500",,180
Eden_RichOreZirax,Distribution Center,"Trading Station,Zirax Defense Checkpoint",,"Advanced Steath Tech Goods: 0.9-1.1,2-4
Advanced Weapons Goods: 0.9-1.1,2-4
Legacite Powder: 0.2-0.3,500-2500",,180
